event_id,name,category,date,venue_capacity,tags
E001,Rotaract Talks 2026,Tech Talk,2026-04-05,500,Photography
E002,Rotaract Bash 2026,Career Fair,2026-11-03,1000,Robotics
E003,MoraHack 2026,Hackathon,2026-01-23,100,Gaming
E004,Ruhuna CodeFest 2026,Tech Talk,2026-12-12,200,"Networking, Business"
E005,Rotaract Spike 2026,Career Fair,2026-02-27,500,"Business, Coding, Cricket"
E006,CodeSprint 2026,Hackathon,2026-09-01,200,"Volunteering, Music"
E007,Colombo Symphony 2026,Career Fair,2026-06-11,200,"Art, Photography, Volunteering"
E008,AIESEC Spike 2026,Cultural Event,2026-07-10,100,"Art, Robotics"
E009,Mora Spike 2026,Cultural Event,2026-09-23,100,Photography
E010,HackX 2026,Hackathon,2026-03-05,100,"Cricket, Debate, AI"
E011,AIESEC Night 2026,Career Fair,2026-07-22,1000,Photography
E012,Mora Night 2026,Workshop,2026-09-16,500,"Art, Debate, Cricket"
E013,Gimhana,Musical Show,2026-05-01,100,"Coding, Robotics"
E014,Kelaniya Symphony 2026,Workshop,2026-07-27,100,"Photography, Business, Robotics"
E015,Kelaniya Fiesta 2026,Sports Meet,2026-05-03,1000,"Volunteering, Networking"
E016,HackX 2026,Hackathon,2026-05-02,200,"Networking, AI"
E017,MoraHack 2026,Hackathon,2026-10-17,500,"Cricket, Music, Volunteering"
E018,Sangeetha Nethgama,Musical Show,2026-09-12,100,"Coding, Photography, AI"
E019,Wayamba Bash 2026,Tech Talk,2026-08-19,500,"Photography, Volunteering, Coding"
E020,HackaDev 2026,Hackathon,2026-05-17,100,"AI, Gaming, Photography"
E021,Wayamba Fiesta 2026,Sports Meet,2026-08-11,200,"AI, Gaming"
E022,Mora Talks 2026,Sports Meet,2027-01-11,1000,Networking
E023,CodeSprint 2026,Hackathon,2026-02-24,100,Robotics
E024,CodeSprint 2026,Hackathon,2026-05-29,100,"Debate, Coding"
E025,Mora CodeFest 2026,Tech Talk,2026-10-16,200,Art
E026,HackaDev 2026,Hackathon,2026-03-07,100,"Networking, Gaming, Music"
E027,ReidHack 2026,Hackathon,2026-02-20,500,"Art, Music"
E028,Mora Battle 2026,Career Fair,2026-02-18,500,"Debate, Music, Photography"
E029,IEEE Bash 2026,Workshop,2026-05-22,100,"Debate, Music"
E030,IEEE Spike 2026,Tech Talk,2026-03-15,500,"Gaming, Debate"
E031,Wayamba Spike 2026,Cultural Event,2026-05-01,100,"Coding, Gaming, AI"
E032,MoraHack 2026,Hackathon,2026-11-12,200,Networking
E033,AIESEC Spike 2026,Cultural Event,2026-09-07,200,"Business, Art, Debate"
E034,Gimhana,Musical Show,2026-11-18,1000,Coding
E035,Rotaract Hack 2026,Career Fair,2026-04-08,1000,"Art, Business, Networking"
E036,Mora Battle 2026,Sports Meet,2026-11-19,200,"Art, Business, Volunteering"
E037,ReidHack 2026,Hackathon,2026-07-18,200,AI
E038,MoraBaila,Musical Show,2026-11-26,500,"Robotics, Music, Art"
E039,Colombo Bash 2026,Workshop,2026-07-10,200,"Networking, Art, Volunteering"
E040,MoraHack 2026,Hackathon,2027-01-12,200,"Coding, Gaming"
E041,Wayamba Bash 2026,Tech Talk,2026-05-08,1000,"Robotics, Volunteering, Gaming"
E042,Gimhana,Musical Show,2026-02-07,100,Art
E043,Baila Night,Musical Show,2026-02-07,200,"Gaming, Robotics"
E044,Gimhana,Musical Show,2026-11-02,200,"Cricket, Robotics"
E045,Baila Night,Musical Show,2026-02-02,200,Coding
E046,Colombo Symphony 2026,Tech Talk,2026-05-25,500,"Music, Art, Robotics"
E047,Rotaract Spike 2026,Workshop,2026-09-02,100,"Photography, Cricket"
E048,HackX 2026,Hackathon,2026-08-04,500,Cricket
E049,Mora Spike 2026,Sports Meet,2026-11-19,200,"Debate, Photography, Robotics"
E050,Kelaniya Fiesta 2026,Workshop,2026-12-11,500,"Business, Cricket, Art"
E051,IEEE Symphony 2026,Workshop,2026-05-10,100,AI
E052,Pera Hack 2026,Workshop,2026-10-10,1000,"Photography, Networking"
E053,Rotaract Symphony 2026,Workshop,2026-04-24,500,"AI, Art, Gaming"
E054,AIESEC Symphony 2026,Cultural Event,2026-06-09,1000,"AI, Gaming"
E055,Kelaniya Talks 2026,Cultural Event,2026-09-11,200,"Photography, Coding, Robotics"
E056,Ruhuna Bash 2026,Tech Talk,2026-11-11,200,Business
E057,Pera Hack 2026,Workshop,2026-03-07,500,"Business, AI"
E058,Mora Symphony 2026,Tech Talk,2026-10-12,500,"Art, Robotics, Networking"
E059,Ruhuna CodeFest 2026,Tech Talk,2026-10-04,500,"Gaming, Debate"
E060,AIESEC Talks 2026,Sports Meet,2026-06-07,100,"Coding, Cricket"
E061,Rotaract Battle 2026,Sports Meet,2026-10-29,100,Business
E062,Pera Night 2026,Workshop,2026-07-26,100,"Robotics, Music"
E063,Kelaniya CodeFest 2026,Career Fair,2026-05-31,500,Art
E064,Japura Battle 2026,Cultural Event,2026-06-05,100,"Business, Robotics, Networking"
E065,Ruhuna Bash 2026,Workshop,2026-11-15,100,"Business, Art"
E066,Kelaniya Talks 2026,Tech Talk,2026-05-10,1000,"AI, Cricket, Debate"
E067,Baila Night,Musical Show,2026-07-02,200,"Networking, AI, Gaming"
E068,AIESEC Battle 2026,Tech Talk,2026-02-07,500,"Debate, Robotics, Gaming"
E069,Gimhana,Musical Show,2026-05-18,1000,"Cricket, Business, Coding"
E070,Wayamba Spike 2026,Tech Talk,2026-02-03,100,"Debate, AI, Business"
E071,Sangeetha Nethgama,Musical Show,2026-11-12,1000,Art
E072,Pera Battle 2026,Tech Talk,2026-08-08,200,Debate
E073,IEEE Symphony 2026,Tech Talk,2026-12-16,500,Art
E074,HackaDev 2026,Hackathon,2027-01-10,1000,Music
E075,CodeSprint 2026,Hackathon,2026-05-08,200,Robotics
E076,Mora CodeFest 2026,Sports Meet,2026-10-15,100,"AI, Music, Gaming"
E077,Padura,Musical Show,2026-10-24,1000,"Debate, Volunteering"
E078,Japura Talks 2026,Tech Talk,2026-06-30,1000,"Music, Debate, Robotics"
E079,IEEE Spike 2026,Workshop,2026-06-30,200,"Photography, Gaming, Cricket"
E080,Kelaniya Fiesta 2026,Career Fair,2026-04-06,1000,"Photography, Gaming, Business"
E081,HackX 2026,Hackathon,2026-10-01,1000,"Networking, Robotics"
E082,AIESEC CodeFest 2026,Tech Talk,2027-01-16,500,"Coding, Music, Business"
E083,Japura Spike 2026,Tech Talk,2026-09-01,1000,"Cricket, Debate, Robotics"
E084,Ruhuna Fiesta 2026,Tech Talk,2026-05-25,200,"Cricket, Networking, Music"
E085,Kelaniya Symphony 2026,Sports Meet,2026-08-21,100,"AI, Business, Music"
E086,Rotaract CodeFest 2026,Sports Meet,2026-08-20,1000,Music
E087,Baila Night,Musical Show,2026-03-01,1000,"Robotics, AI"
E088,Kelaniya Bash 2026,Tech Talk,2026-02-11,100,"Volunteering, Debate"
E089,Japura CodeFest 2026,Sports Meet,2027-01-01,1000,Volunteering
E090,Rotaract Talks 2026,Tech Talk,2027-01-23,1000,"Music, Volunteering"
E091,Sangeetha Nethgama,Musical Show,2026-03-15,200,"Business, Cricket"
E092,Ruhuna Hack 2026,Sports Meet,2026-03-03,100,AI
E093,Wayamba Hack 2026,Cultural Event,2026-05-13,100,"Cricket, Gaming"
E094,Rotaract Night 2026,Cultural Event,2026-08-10,500,"Robotics, Gaming, Coding"
E095,Mora Fiesta 2026,Tech Talk,2026-08-04,200,Networking
E096,MoraBaila,Musical Show,2026-02-06,100,"Robotics, Volunteering"
E097,Pera Talks 2026,Sports Meet,2026-03-13,200,Photography
E098,Ruhuna Battle 2026,Cultural Event,2026-03-19,500,Coding
E099,Kelaniya Battle 2026,Sports Meet,2026-08-13,1000,"Photography, Robotics, Networking"
E100,CodeSprint 2026,Hackathon,2026-04-21,100,Robotics
E101,Kelaniya Symphony 2026,Tech Talk,2026-05-15,100,"Art, Coding, Debate"
E102,Wayamba Fiesta 2026,Cultural Event,2026-02-26,200,"Photography, Networking"
E103,Pera Battle 2026,Tech Talk,2026-11-10,200,"Networking, Gaming"
E104,Wayamba Bash 2026,Sports Meet,2027-01-05,200,Networking
E105,Wayamba Symphony 2026,Sports Meet,2026-02-26,500,Photography
E106,HackX 2026,Hackathon,2026-11-19,100,"Networking, Gaming, Debate"
E107,Padura,Musical Show,2026-08-30,200,Networking
E108,Japura CodeFest 2026,Career Fair,2026-10-05,500,Coding
E109,Padura,Musical Show,2026-11-25,1000,Debate
E110,Wayamba Fiesta 2026,Cultural Event,2026-10-16,1000,"Cricket, Business"
E111,Wayamba CodeFest 2026,Cultural Event,2026-05-27,200,"Coding, Robotics"
E112,Kelaniya Talks 2026,Career Fair,2026-11-30,1000,Photography
E113,Mora Night 2026,Career Fair,2026-10-01,100,"Cricket, Gaming"
E114,Padura,Musical Show,2026-03-10,200,Photography
E115,Pera Bash 2026,Career Fair,2026-09-19,500,"Robotics, Volunteering, AI"
E116,Padura,Musical Show,2026-06-27,500,"Robotics, Volunteering, Debate"
E117,Colombo Symphony 2026,Career Fair,2026-03-04,500,"Photography, Robotics"
E118,AIESEC Bash 2026,Tech Talk,2026-10-08,1000,"Cricket, Gaming"
E119,Mora Bash 2026,Workshop,2026-08-29,100,Gaming
E120,Japura Battle 2026,Workshop,2026-04-22,500,"Networking, AI"
E121,Colombo Bash 2026,Tech Talk,2026-11-06,1000,"Business, Gaming"
E122,MoraHack 2026,Hackathon,2026-01-25,100,"Cricket, Gaming"
E123,Ruhuna Bash 2026,Workshop,2026-08-13,500,"Volunteering, Art, Gaming"
E124,IEEE Night 2026,Tech Talk,2026-08-20,100,"Business, Photography"
E125,CodeSprint 2026,Hackathon,2026-07-20,1000,"Networking, Cricket"
E126,Ruhuna Talks 2026,Cultural Event,2026-05-27,1000,"Art, Coding, Debate"
E127,CodeSprint 2026,Hackathon,2026-11-28,1000,"Photography, Volunteering"
E128,Kelaniya Spike 2026,Cultural Event,2026-11-15,200,Business
E129,HackX 2026,Hackathon,2026-03-05,200,Music
E130,Colombo Summit 2026,Tech Talk,2026-10-06,1000,Debate
E131,Pera Night 2026,Career Fair,2026-12-14,500,"Volunteering, Debate"
E132,Kelaniya Bash 2026,Workshop,2027-01-15,500,Business
E133,HackaDev 2026,Hackathon,2027-01-14,1000,Gaming
E134,Ruhuna Hack 2026,Career Fair,2026-04-23,500,"Photography, Business"
E135,Baila Night,Musical Show,2026-09-10,200,"Cricket, Robotics, Gaming"
E136,Gimhana,Musical Show,2026-08-20,1000,Coding
E137,Pera Summit 2026,Cultural Event,2026-03-07,1000,"Music, Photography, Cricket"
E138,MoraHack 2026,Hackathon,2026-09-24,1000,"Music, Art"
E139,Mora Summit 2026,Cultural Event,2026-01-26,100,Coding
E140,HackX 2026,Hackathon,2026-10-16,500,AI
E141,Ruhuna CodeFest 2026,Tech Talk,2026-07-31,500,"Art, Networking"
E142,Ruhuna Bash 2026,Sports Meet,2026-12-01,100,Art
E143,AIESEC Bash 2026,Sports Meet,2026-04-04,100,"Music, Coding"
E144,Colombo Talks 2026,Career Fair,2026-07-30,1000,AI
E145,Ruhuna Talks 2026,Career Fair,2026-01-24,500,"Photography, Gaming, AI"
E146,HackX 2026,Hackathon,2026-09-28,1000,"Art, Coding, Volunteering"
E147,AIESEC Night 2026,Cultural Event,2026-08-08,500,"Music, Art, Debate"
E148,Japura Battle 2026,Career Fair,2026-11-11,100,Volunteering
E149,Padura,Musical Show,2026-09-08,100,"Music, Business"
E150,Kelaniya Hack 2026,Tech Talk,2026-12-26,100,"AI, Robotics, Photography"
